,price,property_type,subproperty_type,province,locality,zip_code,construction_year,total_area_sqm,surface_land_sqm,nbr_frontages,nbr_bedrooms,equipped_kitchen,fl_furnished,fl_open_fire,fl_terrace,terrace_sqm,fl_garden,garden_sqm,fl_swimming_pool,state_building,primary_energy_consumption_sqm,fl_double_glazing
39,395000,0.0,HOUSE,West Flanders,Brugge,8000,,167.0,0.0,4.0,4.0,MISSING,0,0,0,0.0,0,0.0,0,,,0
40,395000,0.0,HOUSE,West Flanders,Brugge,8000,,295.0,165.0,,4.0,MISSING,0,0,0,0.0,0,0.0,0,2.0,476.0,0
41,289000,1.0,APARTMENT,West Flanders,Brugge,8000,2017.0,60.0,,,1.0,MISSING,0,0,0,0.0,0,0.0,0,4.0,121.0,1
42,1190000,1.0,GROUND_FLOOR,West Flanders,Brugge,8000,2020.0,193.0,,,2.0,MISSING,0,0,1,37.0,0,0.0,0,4.0,,1
43,537260,1.0,APARTMENT,West Flanders,Brugge,8000,,123.0,,,3.0,MISSING,0,0,1,39.0,0,0.0,0,4.0,,1
44,365000,1.0,APARTMENT,West Flanders,Brugge,8000,,,,,2.0,MISSING,0,0,0,0.0,1,,0,,364.0,0
45,320844,1.0,APARTMENT,West Flanders,Brugge,8000,2021.0,112.0,,,3.0,MISSING,0,0,0,0.0,0,0.0,0,,0.0,0
46,189000,1.0,SERVICE_FLAT,West Flanders,Brugge,8000,2018.0,55.0,,2.0,1.0,INSTALLED,0,0,1,3.0,1,1000.0,0,5.0,,1
47,1345000,0.0,MANSION,West Flanders,Brugge,8000,1850.0,340.0,178.0,2.0,5.0,HYPER_EQUIPPED,0,0,1,34.0,1,40.0,0,4.0,151.0,0
48,270000,1.0,APARTMENT,West Flanders,Brugge,8000,2005.0,90.0,,2.0,2.0,INSTALLED,0,0,0,0.0,0,0.0,0,4.0,175.0,0
49,270000,1.0,APARTMENT,West Flanders,Brugge,8000,2024.0,69.0,,3.0,1.0,INSTALLED,0,0,1,9.0,0,0.0,0,5.0,,1
50,375000,1.0,LOFT,West Flanders,Brugge,8000,1912.0,,,,0.0,MISSING,0,0,0,0.0,0,0.0,0,,499.0,0
51,675000,0.0,HOUSE,West Flanders,Brugge,8000,1918.0,605.0,235.0,2.0,4.0,MISSING,0,0,1,,1,52.0,0,4.0,269.0,1
52,1475000,1.0,GROUND_FLOOR,West Flanders,Brugge,8000,2020.0,221.0,,,2.0,MISSING,0,0,1,31.0,0,0.0,0,4.0,,0
53,169000,0.0,HOUSE,West Flanders,Brugge,8000,,,112.0,2.0,3.0,MISSING,0,0,1,,0,0.0,0,2.0,694.0,1
54,282000,1.0,APARTMENT,West Flanders,Brugge,8000,1974.0,87.0,,,0.0,MISSING,0,0,0,0.0,0,0.0,0,4.0,290.0,0
55,985000,1.0,APARTMENT,West Flanders,Brugge,8000,,,,,2.0,MISSING,0,0,1,8.0,1,5000.0,0,5.0,,0
56,140000,1.0,KOT,West Flanders,Brugge,8000,2017.0,19.0,,4.0,1.0,INSTALLED,1,0,0,0.0,0,0.0,0,4.0,71.0,0
