,link,id,locality,country,construction_year,Number_of_frontages,province,zip_code,price,property_type,subproperty_type,bedroom_count,total_area_m2,equipped_kitchen,furnished,open_fire,terrace_sqm,terrace,garden_sqm,garden,floodZoneType,surface_land,swimming_pool,state_building,epc,primaryEnergyConsumptionPerSqm,heating_Type,Double_Glazing,cadastral_income,latitude,longitude,public_sales,notary_sales
49,https://www.immoweb.be/en/classified/flat-studio/for-sale/namur/5000/11217066,11217066,Namur,Belgium,,,Namur,5000,182489,APARTMENT,FLAT_STUDIO,0.0,49.0,,0,0,3.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
50,https://www.immoweb.be/en/classified/apartment/for-sale/hasselt/3500/11302310,11302310,Hasselt,Belgium,2023.0,2.0,Limburg,3500,156801,APARTMENT,APARTMENT,1.0,51.0,INSTALLED,0,0,4.0,1,0,0,0,,0,,,,,1,0,50.9305047,5.3297261,,
51,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/charleroi/6000/11099699,11099699,Charleroi,Belgium,1845.0,2.0,Hainaut,6000,599000,HOUSE,MIXED_USE_BUILDING,6.0,702.0,SEMI_EQUIPPED,0,0,0.0,0,0,0,0,330.0,0,GOOD,C,239.0,GAS,0,5649,50.4117449,4.4411187,,
52,https://www.immoweb.be/en/classified/apartment/for-sale/bastogne/6600/9641560,9641560,Bastogne,Belgium,2005.0,3.0,Luxembourg,6600,118000,APARTMENT,APARTMENT,1.0,34.0,,0,0,0.0,0,0,0,0,,0,,C,229.0,FUELOIL,1,552,49.9979578,5.7172358,,
54,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/11299426,11299426,Gent,Belgium,2023.0,,East Flanders,9000,560000,HOUSE,HOUSE,4.0,192.0,INSTALLED,0,0,26.0,1,75,1,0,0.0,0,,,,,1,0,50.9969529,3.7070249,,
55,https://www.immoweb.be/en/classified/house/for-sale/liege/4000/11278291,11278291,Liège,Belgium,1918.0,3.0,Liège,4000,189000,HOUSE,HOUSE,3.0,93.0,INSTALLED,0,0,0.0,0,0,0,0,50.0,0,GOOD,F,479.0,GAS,1,312,50.660605,5.5649389,,
56,https://www.immoweb.be/en/classified/flat-studio/for-sale/bruxelles/1000/11295343,11295343,Brussels,Belgium,2023.0,4.0,Brussels,1000,290000,APARTMENT,FLAT_STUDIO,0.0,54.0,USA_HYPER_EQUIPPED,0,0,0.0,0,0,0,1,,0,AS_NEW,A,45.0,GAS,1,0,50.8558275,4.3486442,,
57,https://www.immoweb.be/en/classified/business/for-sale/antwerp/2000/7309244,7309244,Antwerp,Belgium,,,Antwerp,2000,132400,COMMERCIAL,BUSINESS,,33.0,,0,0,0.0,0,0,0,1,0.0,0,,,,,0,0,,,,
58,https://www.immoweb.be/en/classified/apartment/for-sale/wavre/1300/11278433,11278433,Nivelles,Belgium,2023.0,2.0,Walloon Brabant,1300,445000,APARTMENT,APARTMENT,2.0,92.0,USA_SEMI_EQUIPPED,0,0,18.0,1,0,0,1,,0,,A++,,GAS,1,0,50.7111059,4.5911782,,
59,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11217025,11217025,Namur,Belgium,,,Namur,5000,200526,APARTMENT,APARTMENT,1.0,52.0,,0,0,6.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
60,https://www.immoweb.be/en/classified/apartment/for-sale/hasselt/3500/11302342,11302342,Hasselt,Belgium,2023.0,2.0,Limburg,3500,159135,APARTMENT,APARTMENT,1.0,45.0,INSTALLED,0,0,9.0,1,0,0,0,,0,,,,,1,0,50.9305047,5.3297261,,
61,https://www.immoweb.be/en/classified/apartment/for-sale/charleroi/6000/11245789,11245789,Charleroi,Belgium,,,Hainaut,6000,119900,APARTMENT,APARTMENT,2.0,75.0,NOT_INSTALLED,0,0,0.0,0,0,0,1,,0,GOOD,C,177.0,GAS,1,1155,50.4087492,4.438354,,
62,https://www.immoweb.be/en/classified/country-cottage/for-sale/bastogne/6600/11287612,11287612,Bastogne,Belgium,1850.0,4.0,Luxembourg,6600,250000,HOUSE,COUNTRY_COTTAGE,4.0,240.0,,0,0,0.0,0,0,0,0,2619.0,0,,F,429.0,FUELOIL,1,555,50.0167772,5.7288463,,
63,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/11299421,11299421,Gent,Belgium,2023.0,,East Flanders,9000,560000,HOUSE,HOUSE,4.0,192.0,INSTALLED,0,0,26.0,1,75,1,0,0.0,0,,,,,1,0,50.9969529,3.7070249,,
64,https://www.immoweb.be/en/classified/apartment/for-sale/brugge/8000/11099790,11099790,Brugge,Belgium,2024.0,3.0,West Flanders,8000,270000,APARTMENT,APARTMENT,1.0,69.0,INSTALLED,0,0,9.0,1,0,0,0,,0,AS_NEW,,,,1,0,51.2232578,3.2370722,,
65,https://www.immoweb.be/en/classified/business/for-sale/antwerp/2000/7309245,7309245,Antwerp,Belgium,,,Antwerp,2000,132800,COMMERCIAL,BUSINESS,,33.0,,0,0,0.0,0,0,0,1,0.0,0,,,,,0,0,,,,
66,https://www.immoweb.be/en/classified/flat-studio/for-sale/bruxelles/1000/11295363,11295363,Brussels,Belgium,2023.0,4.0,Brussels,1000,330000,APARTMENT,FLAT_STUDIO,0.0,54.0,USA_HYPER_EQUIPPED,0,0,17.0,1,0,0,1,,0,AS_NEW,A,45.0,GAS,1,0,50.8558275,4.3486442,,
67,https://www.immoweb.be/en/classified/apartment/for-sale/hasselt/3500/11302335,11302335,Hasselt,Belgium,2023.0,2.0,Limburg,3500,163579,APARTMENT,APARTMENT,1.0,51.0,INSTALLED,0,0,10.0,1,0,0,0,,0,,,,,1,0,50.9305047,5.3297261,,
68,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11217011,11217011,Namur,Belgium,,,Namur,5000,202408,APARTMENT,APARTMENT,1.0,48.0,,0,0,8.0,1,0,0,1,,0,AS_NEW,,,,0,0,,,,
69,https://www.immoweb.be/en/classified/apartment/for-sale/charleroi/6000/11261755,11261755,Charleroi,Belgium,,2.0,Hainaut,6000,85000,APARTMENT,APARTMENT,2.0,68.0,SEMI_EQUIPPED,0,0,4.0,1,0,0,1,,0,GOOD,C,198.0,GAS,1,855,50.4145211,4.4552515,,
