,locality,construction_year,Number_of_frontages,province,zip_code,price,property_type,subproperty_type,bedroom_count,total_area_m2,equipped_kitchen,furnished,open_fire,terrace_sqm,terrace,garden_sqm,garden,floodZoneType,surface_land,swimming_pool,state_building,epc,primaryEnergyConsumptionPerSqm,heating_Type,Double_Glazing,cadastral_income,latitude,longitude,region,price_square
26,Bastogne,1850.0,4.0,Luxembourg,6600,250000,0.0,COUNTRY_COTTAGE,4.0,240.0,,0,0,0.0,0,0,0,0,2619.0,0,,2.0,429.0,FUELOIL,1,555,50.0167772,5.7288463,Wallonia,1041.6666666666667
27,Liège,2003.0,4.0,Liège,4000,765000,0.0,HOUSE,5.0,395.0,HYPER_EQUIPPED,0,0,19.0,1,2500,1,0,3000.0,0,4.0,6.0,158.0,FUELOIL,1,3056,50.5716569,5.5522429,Wallonia,1936.7088607594937
28,Antwerp,,,Antwerp,2000,132400,,BUSINESS,,33.0,,0,0,0.0,0,0,0,1,0.0,0,,,,,0,0,,,Flanders,4012.121212121212
29,Nivelles,2023.0,4.0,Walloon Brabant,1300,425000,1.0,APARTMENT,2.0,90.0,INSTALLED,0,0,17.0,1,0,0,1,,0,,9.0,,GAS,1,0,,,Wallonia,4722.222222222223
30,Bastogne,1874.0,4.0,Luxembourg,6600,1750000,0.0,CASTLE,19.0,1560.0,HYPER_EQUIPPED,1,0,20.0,1,28870,1,0,28870.0,0,4.0,4.0,288.0,FUELOIL,1,0,49.8789747,5.6824696,Wallonia,1121.7948717948718
31,Charleroi,1845.0,2.0,Hainaut,6000,599000,0.0,MIXED_USE_BUILDING,6.0,702.0,SEMI_EQUIPPED,0,0,0.0,0,0,0,0,330.0,0,4.0,5.0,239.0,GAS,0,5649,50.4117449,4.4411187,Wallonia,853.2763532763532
32,Hasselt,2023.0,2.0,Limburg,3500,156801,1.0,APARTMENT,1.0,51.0,INSTALLED,0,0,4.0,1,0,0,0,,0,,,,,1,0,50.9305047,5.3297261,Flanders,3074.529411764706
33,Antwerp,,,Antwerp,2000,132800,,BUSINESS,,33.0,,0,0,0.0,0,0,0,1,0.0,0,,,,,0,0,,,Flanders,4024.242424242424
34,Liège,1918.0,3.0,Liège,4000,189000,0.0,HOUSE,3.0,93.0,INSTALLED,0,0,0.0,0,0,0,0,50.0,0,4.0,2.0,479.0,GAS,1,312,50.660605,5.5649389,Wallonia,2032.258064516129
35,Nivelles,2023.0,2.0,Walloon Brabant,1300,445000,1.0,APARTMENT,2.0,92.0,USA_SEMI_EQUIPPED,0,0,18.0,1,0,0,1,,0,,9.0,,GAS,1,0,50.7111059,4.5911782,Wallonia,4836.95652173913
