,locality,construction_year,Number_of_frontages,province,zip_code,price,property_type,subproperty_type,bedroom_count,total_area_m2,equipped_kitchen,furnished,open_fire,terrace_sqm,terrace,garden_sqm,garden,floodZoneType,surface_land,swimming_pool,state_building,epc,primaryEnergyConsumptionPerSqm,heating_Type,Double_Glazing,cadastral_income,latitude,longitude,region,price_square
123,Brugge,2024.0,3.0,West Flanders,8000,580000,1.0,APARTMENT,3.0,144.0,INSTALLED,0,0,35.0,1,0,0,0,,0,5.0,,,,1,0,51.2232456,3.2370482,Flanders,4027.777777777778
124,Hasselt,2023.0,2.0,Limburg,3500,277632,1.0,APARTMENT,1.0,68.0,INSTALLED,0,0,10.0,1,0,0,0,,0,,,,,1,0,50.9300124,5.3322355,Flanders,4082.823529411765
125,Nivelles,,,Walloon Brabant,1300,283851,1.0,LOFT,2.0,197.0,,0,0,39.0,1,232,1,1,,0,5.0,6.0,89.0,,0,0,50.7237045,4.6092538,Wallonia,1440.8680203045685
126,Brugge,2024.0,3.0,West Flanders,8000,580000,1.0,APARTMENT,3.0,127.0,INSTALLED,0,0,21.0,1,0,0,0,,0,5.0,,,,1,0,51.2232578,3.2370722,Flanders,4566.929133858268
127,Charleroi,1954.0,2.0,Hainaut,6000,149000,1.0,APARTMENT,3.0,106.0,INSTALLED,0,0,0.0,0,0,0,0,,0,4.0,6.0,150.0,GAS,1,966,50.4167926,4.4502461,Wallonia,1405.6603773584907
128,Hasselt,2023.0,2.0,Limburg,3500,286666,1.0,APARTMENT,1.0,63.0,INSTALLED,0,0,11.0,1,0,0,0,,0,,,,,1,0,50.9300124,5.3322355,Flanders,4550.253968253968
129,Nivelles,,,Walloon Brabant,1300,335455,1.0,APARTMENT,2.0,99.0,,0,0,17.0,1,0,0,1,,0,5.0,6.0,102.0,,0,0,50.7237045,4.6092538,Wallonia,3388.4343434343436
130,Brugge,2024.0,3.0,West Flanders,8000,599000,1.0,APARTMENT,3.0,140.0,INSTALLED,0,0,35.0,1,0,0,0,,0,5.0,,,,1,0,51.2232456,3.2370482,Flanders,4278.571428571428
131,Charleroi,2010.0,4.0,Hainaut,6000,395000,0.0,HOUSE,5.0,170.0,,0,0,,1,3000,1,0,0.0,0,4.0,6.0,150.0,GAS,1,1404,50.4640067,4.4839432,Wallonia,2323.529411764706
132,Hasselt,2023.0,2.0,Limburg,3500,305283,1.0,APARTMENT,1.0,77.0,INSTALLED,0,0,10.0,1,0,0,0,,0,,,,,1,0,50.9300124,5.3322355,Flanders,3964.714285714286
133,Nivelles,,,Walloon Brabant,1300,345455,1.0,APARTMENT,2.0,98.0,,0,0,40.0,1,0,0,1,,0,5.0,7.0,85.0,,0,0,50.7237045,4.6092538,Wallonia,3525.0510204081634
134,Brugge,2024.0,3.0,West Flanders,8000,630000,1.0,PENTHOUSE,2.0,100.0,INSTALLED,0,0,39.0,1,0,0,0,,0,5.0,,,,1,0,51.2232456,3.2370482,Flanders,6300.0
135,Charleroi,,,Hainaut,6000,195000,1.0,APARTMENT,2.0,113.0,INSTALLED,0,0,,1,0,0,1,,0,6.0,6.0,131.0,FUELOIL,1,1447,,,Wallonia,1725.6637168141592
136,Hasselt,2023.0,2.0,Limburg,3500,316347,1.0,APARTMENT,1.0,89.0,INSTALLED,0,0,12.0,1,0,0,0,,0,,,,,1,0,50.9300124,5.3322355,Flanders,3554.4606741573034
137,Nivelles,,,Walloon Brabant,1300,405455,1.0,APARTMENT,2.0,116.0,,0,0,69.0,1,0,0,1,,0,5.0,6.0,115.0,,0,0,50.7237045,4.6092538,Wallonia,3495.301724137931
138,Brugge,2024.0,3.0,West Flanders,8000,699000,1.0,PENTHOUSE,3.0,127.0,INSTALLED,0,0,66.0,1,0,0,0,,0,5.0,,,,1,0,51.2232578,3.2370722,Flanders,5503.937007874016
139,Charleroi,1940.0,2.0,Hainaut,6000,189000,0.0,HOUSE,3.0,175.0,,0,0,41.0,1,97,1,1,147.0,0,4.0,3.0,415.0,GAS,1,713,50.4269235,4.4556679,Wallonia,1080.0
140,Hasselt,2023.0,2.0,Limburg,3500,326855,1.0,PENTHOUSE,2.0,104.0,INSTALLED,0,0,19.0,1,0,0,0,,0,,,,,1,0,50.9307846,5.3299163,Flanders,3142.8365384615386
141,Charleroi,,2.0,Hainaut,6000,59000,1.0,APARTMENT,2.0,82.0,NOT_INSTALLED,0,0,0.0,0,0,0,0,,0,2.0,6.0,108.0,GAS,1,907,50.4122756,4.4352232,Wallonia,719.5121951219512
142,Hasselt,2023.0,2.0,Limburg,3500,328840,1.0,APARTMENT,2.0,102.0,INSTALLED,0,0,28.0,1,0,0,0,,0,,,,,1,0,50.9305047,5.3297261,Flanders,3223.921568627451
143,Charleroi,1988.0,,Hainaut,6000,160000,1.0,APARTMENT,3.0,,INSTALLED,0,0,,1,0,0,1,,0,4.0,5.0,196.0,GAS,1,1422,50.4165736,4.451728,Wallonia,
144,Hasselt,2023.0,2.0,Limburg,3500,352880,1.0,APARTMENT,1.0,89.0,INSTALLED,0,0,12.0,1,0,0,0,,0,,,,,1,0,50.9300124,5.3322355,Flanders,3964.9438202247193
145,Charleroi,1970.0,2.0,Hainaut,6000,99900,0.0,HOUSE,3.0,110.0,,0,0,8.0,1,150,1,0,170.0,0,3.0,2.0,482.0,,0,0,,,Wallonia,908.1818181818181
146,Hasselt,2023.0,2.0,Limburg,3500,353080,1.0,APARTMENT,1.0,79.0,INSTALLED,0,0,10.0,1,0,0,0,,0,,,,,1,0,50.9300124,5.3322355,Flanders,4469.367088607595
147,Brugge,2024.0,2.0,West Flanders,8000,275000,,BUSINESS,,116.0,NOT_INSTALLED,0,0,0.0,0,0,0,0,158.0,0,,7.0,10.0,GAS,1,0,51.2207473,3.2162353,Flanders,2370.689655172414
148,Charleroi,,2.0,Hainaut,6000,105000,0.0,HOUSE,2.0,115.0,NOT_INSTALLED,0,0,0.0,0,0,0,1,0.0,0,2.0,3.0,389.0,GAS,1,0,50.4213512,4.448426,Wallonia,913.0434782608696
149,Hasselt,2023.0,2.0,Limburg,3500,358834,1.0,APARTMENT,2.0,96.0,INSTALLED,0,0,10.0,1,0,0,0,,0,,,,,1,0,50.9300124,5.3322355,Flanders,3737.8541666666665
150,Brugge,2024.0,2.0,West Flanders,8000,305000,,BUSINESS,,108.0,NOT_INSTALLED,0,0,0.0,0,0,0,0,120.0,0,,7.0,10.0,GAS,0,0,51.2207473,3.2162353,Flanders,2824.074074074074
151,Charleroi,1970.0,2.0,Hainaut,6000,329900,0.0,APARTMENT_BLOCK,2.0,272.0,INSTALLED,0,0,0.0,0,0,0,0,160.0,0,6.0,5.0,194.0,GAS,1,2141,,,Wallonia,1212.8676470588234
152,Hasselt,2023.0,2.0,Limburg,3500,370748,1.0,APARTMENT,1.0,99.0,INSTALLED,0,0,12.0,1,0,0,0,,0,,,,,1,0,50.9301492,5.3317664,Flanders,3744.929292929293
153,Brugge,2024.0,3.0,West Flanders,8000,365000,,BUSINESS,,136.0,NOT_INSTALLED,0,0,0.0,0,0,0,0,145.0,0,,7.0,10.0,GAS,1,0,51.2207473,3.2162353,Flanders,2683.823529411765
154,Charleroi,,2.0,Hainaut,6000,360000,0.0,HOUSE,3.0,261.0,INSTALLED,1,0,0.0,0,150,1,1,270.0,0,4.0,3.0,370.0,GAS,1,0,50.4083022,4.4440087,Wallonia,1379.3103448275863
155,Liège,,,Liège,4000,235000,1.0,APARTMENT,1.0,69.0,INSTALLED,0,0,9.0,1,0,0,1,,0,,7.0,50.0,GAS,1,0,50.6182094,5.5783806,Wallonia,3405.7971014492755
156,Hasselt,2023.0,2.0,Limburg,3500,372401,1.0,APARTMENT,1.0,79.0,INSTALLED,0,0,10.0,1,0,0,0,,0,,,,,1,0,50.9300124,5.3322355,Flanders,4713.93670886076
157,Charleroi,,,Hainaut,6000,750000,0.0,APARTMENT_BLOCK,10.0,480.0,NOT_INSTALLED,0,0,0.0,0,0,0,1,0.0,0,,6.0,156.0,GAS,1,3242,50.4076622,4.4378862,Wallonia,1562.5
158,Brugge,2024.0,2.0,West Flanders,8000,445000,1.0,APARTMENT,3.0,118.0,USA_HYPER_EQUIPPED,0,0,13.0,1,0,0,0,,0,,7.0,10.0,GAS,1,0,51.2207473,3.2162353,Flanders,3771.186440677966
159,Liège,,,Liège,4000,238000,1.0,APARTMENT,1.0,69.0,INSTALLED,0,0,9.0,1,0,0,1,,0,,7.0,50.0,GAS,1,0,50.6182094,5.5783806,Wallonia,3449.2753623188405
160,Hasselt,2023.0,2.0,Limburg,3500,377084,1.0,APARTMENT,1.0,99.0,INSTALLED,0,0,12.0,1,0,0,0,,0,,,,,1,0,50.9301492,5.3317664,Flanders,3808.929292929293
161,Charleroi,1938.0,2.0,Hainaut,6000,395000,0.0,APARTMENT_BLOCK,4.0,400.0,,0,0,0.0,0,0,0,1,50.0,0,6.0,6.0,,GAS,0,0,50.4128808,4.4448481,Wallonia,987.5
162,Brugge,2024.0,2.0,West Flanders,8000,455000,1.0,APARTMENT,3.0,138.0,USA_HYPER_EQUIPPED,0,0,20.0,1,0,0,0,,0,,7.0,10.0,GAS,1,0,51.2207473,3.2162353,Flanders,3297.1014492753625
163,Hasselt,2023.0,2.0,Limburg,3500,379748,1.0,APARTMENT,3.0,110.0,INSTALLED,0,0,10.0,1,0,0,0,,0,,,,,1,0,50.9300124,5.3322355,Flanders,3452.2545454545457
164,Brugge,2024.0,3.0,West Flanders,8000,635000,1.0,APARTMENT,3.0,136.0,USA_HYPER_EQUIPPED,0,0,20.0,1,0,0,0,,0,,7.0,10.0,GAS,1,0,51.2207473,3.2162353,Flanders,4669.117647058823
165,Charleroi,1910.0,2.0,Hainaut,6000,280000,0.0,APARTMENT_BLOCK,4.0,183.0,,0,0,0.0,0,100,1,1,0.0,0,3.0,3.0,362.0,FUELOIL,1,0,50.4212501,4.4593104,Wallonia,1530.0546448087432
166,Hasselt,2023.0,2.0,Limburg,3500,381488,1.0,APARTMENT,1.0,99.0,INSTALLED,0,0,12.0,1,0,0,0,,0,,,,,1,0,50.9301492,5.3317664,Flanders,3853.4141414141413
167,Charleroi,,,Hainaut,6000,120000,1.0,APARTMENT,2.0,72.0,INSTALLED,0,0,,1,0,0,1,,0,5.0,5.0,210.0,FUELOIL,1,0,,,Wallonia,1666.6666666666667
168,Liège,,,Liège,4000,255000,1.0,APARTMENT,1.0,75.0,INSTALLED,0,0,0.0,0,0,0,1,,0,,7.0,50.0,GAS,1,0,50.6182094,5.5783806,Wallonia,3400.0
169,Bastogne,2024.0,3.0,Luxembourg,6600,285000,1.0,APARTMENT,2.0,95.0,,0,0,9.0,1,0,0,0,,0,5.0,7.0,,GAS,0,0,50.0062282,5.7180337,Wallonia,3000.0
170,Hasselt,2023.0,2.0,Limburg,3500,383963,1.0,APARTMENT,2.0,96.0,INSTALLED,0,0,10.0,1,0,0,0,,0,,,,,1,0,50.9300124,5.3322355,Flanders,3999.6145833333335
171,Charleroi,1964.0,,Hainaut,6000,70000,1.0,APARTMENT,1.0,,,0,0,0.0,0,0,0,1,,0,2.0,4.0,277.0,,0,813,50.4144379,4.4459221,Wallonia,
172,Liège,,,Liège,4000,386000,1.0,APARTMENT,2.0,125.0,INSTALLED,0,0,18.0,1,0,0,1,,0,,7.0,50.0,GAS,1,0,50.6182094,5.5783806,Wallonia,3088.0
173,Hasselt,2023.0,2.0,Limburg,3500,394171,1.0,APARTMENT,2.0,96.0,INSTALLED,0,0,10.0,1,0,0,0,,0,,,,,1,0,50.9300124,5.3322355,Flanders,4105.947916666667
174,Bastogne,2024.0,3.0,Luxembourg,6600,285000,1.0,APARTMENT,2.0,97.0,,0,0,5.0,1,0,0,0,,0,5.0,7.0,,GAS,0,0,50.0062282,5.7180337,Wallonia,2938.144329896907
175,Brugge,2024.0,3.0,West Flanders,8000,685000,1.0,APARTMENT,2.0,159.0,USA_HYPER_EQUIPPED,0,0,29.0,1,0,0,0,,0,,7.0,10.0,GAS,1,0,51.2207473,3.2162353,Flanders,4308.176100628931
176,Charleroi,,2.0,Hainaut,6000,108000,1.0,APARTMENT,3.0,102.0,,0,0,2.0,1,0,0,0,,0,2.0,5.0,194.0,GAS,0,0,50.4081251,4.4380476,Wallonia,1058.8235294117646
177,Nivelles,2024.0,,Walloon Brabant,1300,315000,1.0,APARTMENT,1.0,81.0,USA_INSTALLED,0,0,10.0,1,0,0,1,,0,,,,GAS,1,0,,,Wallonia,3888.8888888888887
178,Liège,,,Liège,4000,391000,1.0,APARTMENT,3.0,125.0,INSTALLED,0,0,27.0,1,0,0,1,,0,,7.0,50.0,GAS,1,0,50.6182094,5.5783806,Wallonia,3128.0
179,Hasselt,2023.0,2.0,Limburg,3500,410981,1.0,APARTMENT,3.0,110.0,INSTALLED,0,0,10.0,1,0,0,0,,0,,,,,1,0,50.9300124,5.3322355,Flanders,3736.190909090909
180,Bastogne,2024.0,3.0,Luxembourg,6600,285000,1.0,APARTMENT,2.0,101.0,,0,0,7.0,1,0,0,0,,0,5.0,7.0,,GAS,0,0,50.0062282,5.7180337,Wallonia,2821.7821782178216
181,Charleroi,,2.0,Hainaut,6000,175000,1.0,DUPLEX,2.0,97.0,,0,0,0.0,0,0,0,1,,0,4.0,4.0,321.0,GAS,1,0,50.4062845,4.4435078,Wallonia,1804.1237113402062
182,Liège,,,Liège,4000,393000,1.0,APARTMENT,2.0,125.0,INSTALLED,0,0,18.0,1,0,0,1,,0,,7.0,50.0,GAS,1,0,50.6182094,5.5783806,Wallonia,3144.0
183,Hasselt,2023.0,2.0,Limburg,3500,413176,1.0,APARTMENT,2.0,115.0,INSTALLED,0,0,9.0,1,0,0,0,,0,,,,,1,0,50.9301492,5.3317664,Flanders,3592.8347826086956
184,Nivelles,2024.0,,Walloon Brabant,1300,315000,1.0,APARTMENT,2.0,89.0,USA_INSTALLED,0,0,10.0,1,0,0,1,,0,,,,GAS,1,0,,,Wallonia,3539.325842696629
185,Bastogne,2024.0,3.0,Luxembourg,6600,290000,1.0,APARTMENT,2.0,100.0,,0,0,21.0,1,0,0,0,,0,5.0,7.0,,GAS,0,0,50.0062282,5.7180337,Wallonia,2900.0
186,Charleroi,1955.0,4.0,Hainaut,6000,178000,1.0,APARTMENT,2.0,141.0,INSTALLED,0,0,,1,0,0,1,,0,6.0,6.0,157.0,CARBON,0,1670,,,Wallonia,1262.4113475177305
187,Liège,,,Liège,4000,395000,1.0,APARTMENT,2.0,120.0,INSTALLED,0,0,39.0,1,0,0,1,,0,,7.0,50.0,GAS,1,0,50.6182094,5.5783806,Wallonia,3291.6666666666665
188,Hasselt,2023.0,2.0,Limburg,3500,414853,1.0,APARTMENT,2.0,92.0,INSTALLED,0,0,25.0,1,0,0,0,,0,,,,,1,0,50.9300124,5.3322355,Flanders,4509.271739130435
189,Charleroi,,2.0,Hainaut,6000,250000,0.0,MIXED_USE_BUILDING,4.0,260.0,USA_INSTALLED,0,0,,1,0,0,1,0.0,0,4.0,3.0,348.0,GAS,0,0,50.4117081,4.4405918,Wallonia,961.5384615384615
190,Bastogne,2024.0,3.0,Luxembourg,6600,295000,1.0,APARTMENT,2.0,103.0,,0,0,17.0,1,0,0,0,,0,5.0,7.0,,GAS,0,0,50.0062282,5.7180337,Wallonia,2864.0776699029125
191,Nivelles,,,Walloon Brabant,1300,315000,1.0,APARTMENT,2.0,98.0,USA_INSTALLED,0,0,10.0,1,0,0,1,,0,,,,GAS,1,0,,,Wallonia,3214.285714285714
192,Liège,,,Liège,4000,396000,1.0,APARTMENT,3.0,125.0,INSTALLED,0,0,17.0,1,0,0,1,,0,,7.0,50.0,GAS,1,0,50.6182094,5.5783806,Wallonia,3168.0
193,Brugge,2024.0,3.0,West Flanders,8000,695000,1.0,PENTHOUSE,3.0,153.0,USA_HYPER_EQUIPPED,0,0,94.0,1,0,0,0,,0,,7.0,10.0,GAS,1,0,51.22428,3.2146403,Flanders,4542.483660130719
194,Charleroi,,2.0,Hainaut,6000,250000,0.0,MIXED_USE_BUILDING,4.0,260.0,USA_INSTALLED,0,0,,1,0,0,1,0.0,0,4.0,3.0,348.0,GAS,0,0,50.4117081,4.4405918,Wallonia,961.5384615384615
195,Hasselt,2023.0,2.0,Limburg,3500,416871,1.0,APARTMENT,2.0,99.0,INSTALLED,0,0,11.0,1,0,0,0,,0,,,,,1,0,50.9300124,5.3322355,Flanders,4210.818181818182
196,Nivelles,2024.0,,Walloon Brabant,1300,330000,1.0,GROUND_FLOOR,2.0,95.0,USA_INSTALLED,0,0,,1,0,0,1,,0,,,,GAS,1,0,,,Wallonia,3473.684210526316
197,Liège,,,Liège,4000,396000,1.0,APARTMENT,2.0,125.0,INSTALLED,0,0,29.0,1,0,0,1,,0,,7.0,50.0,GAS,1,0,50.6182094,5.5783806,Wallonia,3168.0
198,Charleroi,,2.0,Hainaut,6000,169000,0.0,HOUSE,4.0,176.0,INSTALLED,0,0,,1,0,0,1,130.0,0,3.0,5.0,213.0,GAS,1,981,50.4069373,4.4498348,Wallonia,960.2272727272727
199,Brugge,2024.0,3.0,West Flanders,8000,395000,,BUSINESS,,147.0,NOT_INSTALLED,0,0,0.0,0,0,0,0,162.0,0,,7.0,10.0,GAS,1,0,51.22428,3.2146403,Flanders,2687.074829931973
200,Hasselt,2023.0,2.0,Limburg,3500,428782,1.0,APARTMENT,2.0,99.0,INSTALLED,0,0,11.0,1,0,0,0,,0,,,,,1,0,50.9300124,5.3322355,Flanders,4331.131313131313
201,Liège,,,Liège,4000,399000,1.0,APARTMENT,3.0,125.0,INSTALLED,0,0,17.0,1,0,0,1,,0,,7.0,50.0,GAS,1,0,50.6182094,5.5783806,Wallonia,3192.0
202,Antwerp,2024.0,2.0,Antwerp,2000,625000,1.0,APARTMENT,2.0,96.0,HYPER_EQUIPPED,0,0,11.0,1,0,0,0,,0,5.0,,,GAS,0,0,51.2266199,4.4009373,Flanders,6510.416666666667
203,Nivelles,2024.0,,Walloon Brabant,1300,330000,1.0,APARTMENT,2.0,95.0,USA_INSTALLED,0,0,9.0,1,0,0,1,,0,,,,GAS,1,0,,,Wallonia,3473.684210526316
204,Charleroi,,2.0,Hainaut,6000,500000,0.0,APARTMENT_BLOCK,5.0,316.0,INSTALLED,0,0,0.0,0,0,0,1,0.0,0,,1.0,777.0,FUELOIL,1,4962,50.4071318,4.4430593,Wallonia,1582.2784810126582
205,Hasselt,2023.0,2.0,Limburg,3500,470552,1.0,APARTMENT,3.0,113.0,INSTALLED,0,0,22.0,1,0,0,0,,0,,,,,1,0,50.9300124,5.3322355,Flanders,4164.1769911504425
206,Brugge,1950.0,2.0,West Flanders,8000,298000,1.0,APARTMENT,2.0,82.0,INSTALLED,0,0,4.0,1,0,0,0,,0,4.0,6.0,121.0,GAS,1,0,51.2209765,3.2168771,Flanders,3634.1463414634145
207,Bastogne,,,Luxembourg,6600,245000,1.0,APARTMENT,1.0,78.0,,0,0,4.0,1,0,0,1,,0,5.0,7.0,64.0,,0,0,,,Wallonia,3141.025641025641
208,Liège,,,Liège,4000,401000,1.0,APARTMENT,2.0,125.0,INSTALLED,0,0,29.0,1,0,0,1,,0,,7.0,50.0,GAS,1,0,50.6182094,5.5783806,Wallonia,3208.0
209,Antwerp,2024.0,4.0,Antwerp,2000,625000,1.0,APARTMENT,2.0,109.0,HYPER_EQUIPPED,0,0,11.0,1,0,0,0,,0,5.0,,,GAS,0,0,51.2266199,4.4009373,Flanders,5733.94495412844
210,Charleroi,,3.0,Hainaut,6000,555000,0.0,APARTMENT_BLOCK,0.0,199.0,,0,0,0.0,0,0,0,1,91.0,0,4.0,,,ELECTRIC,1,0,50.4137886,4.4486226,Wallonia,2788.9447236180904
211,Nivelles,2024.0,,Walloon Brabant,1300,345000,1.0,APARTMENT,2.0,90.0,,0,0,10.0,1,0,0,1,,0,,,,GAS,1,0,,,Wallonia,3833.3333333333335
212,Hasselt,2023.0,2.0,Limburg,3500,470955,1.0,APARTMENT,3.0,116.0,INSTALLED,0,0,10.0,1,0,0,0,,0,,,,,1,0,50.9300124,5.3322355,Flanders,4059.956896551724
213,Bastogne,,,Luxembourg,6600,254000,1.0,APARTMENT,1.0,73.0,,0,0,7.0,1,0,0,1,,0,5.0,7.0,57.0,,0,0,,,Wallonia,3479.4520547945203
214,Liège,,,Liège,4000,401000,1.0,APARTMENT,2.0,124.0,INSTALLED,0,0,39.0,1,0,0,1,,0,,7.0,50.0,GAS,1,0,50.6182094,5.5783806,Wallonia,3233.8709677419356
215,Antwerp,2024.0,4.0,Antwerp,2000,650000,1.0,APARTMENT,2.0,109.0,HYPER_EQUIPPED,0,0,11.0,1,0,0,0,,0,5.0,,,GAS,0,0,51.2266199,4.4009373,Flanders,5963.302752293578
216,Brugge,2013.0,2.0,West Flanders,8000,420000,1.0,APARTMENT,2.0,115.0,USA_HYPER_EQUIPPED,0,0,30.0,1,0,0,0,,0,5.0,6.0,129.0,,1,975,51.209997,3.2343987,Flanders,3652.1739130434785
217,Charleroi,,2.0,Hainaut,6000,140000,1.0,APARTMENT,2.0,,INSTALLED,0,0,,1,0,0,1,,0,4.0,5.0,189.0,GAS,1,0,50.4158762,4.4455796,Wallonia,
218,Nivelles,2024.0,,Walloon Brabant,1300,345000,1.0,APARTMENT,2.0,100.0,USA_INSTALLED,0,0,8.0,1,0,0,1,,0,,,,GAS,1,0,,,Wallonia,3450.0
219,Hasselt,2023.0,2.0,Limburg,3500,487428,1.0,DUPLEX,2.0,129.0,INSTALLED,0,0,19.0,1,0,0,0,,0,,,,,1,0,50.9309444,5.3290983,Flanders,3778.5116279069766
220,Liège,,,Liège,4000,402000,1.0,APARTMENT,3.0,125.0,INSTALLED,0,0,17.0,1,0,0,1,,0,,7.0,50.0,GAS,1,0,50.6182094,5.5783806,Wallonia,3216.0
221,Bastogne,,,Luxembourg,6600,259000,1.0,APARTMENT,1.0,73.0,,0,0,7.0,1,0,0,1,,0,5.0,7.0,72.0,,0,0,,,Wallonia,3547.945205479452
222,Antwerp,2024.0,2.0,Antwerp,2000,669500,1.0,APARTMENT,2.0,96.0,HYPER_EQUIPPED,0,0,11.0,1,0,0,0,,0,5.0,,,GAS,0,0,51.2266199,4.4009373,Flanders,6973.958333333333
223,Charleroi,,2.0,Hainaut,6000,140000,1.0,APARTMENT,2.0,90.0,INSTALLED,0,0,0.0,0,0,0,1,,0,,4.0,332.0,,1,0,50.4071318,4.4430593,Wallonia,1555.5555555555557
224,Brugge,1967.0,2.0,West Flanders,8000,545000,0.0,MIXED_USE_BUILDING,6.0,399.0,USA_HYPER_EQUIPPED,0,0,10.0,1,0,0,0,190.0,0,3.0,3.0,462.0,GAS,0,4375,51.205582,3.2160446,Flanders,1365.9147869674186
225,Hasselt,2023.0,2.0,Limburg,3500,545790,1.0,APARTMENT,2.0,140.0,INSTALLED,0,0,23.0,1,0,0,0,,0,,,,,1,0,50.9301492,5.3317664,Flanders,3898.5
226,Bastogne,,,Luxembourg,6600,259000,1.0,APARTMENT,1.0,73.0,,0,0,12.0,1,0,0,1,,0,5.0,7.0,46.0,,0,0,,,Wallonia,3547.945205479452
227,Liège,1936.0,2.0,Liège,4000,179000,0.0,HOUSE,2.0,97.0,INSTALLED,0,0,5.0,1,65,1,0,167.0,0,3.0,3.0,401.0,GAS,1,557,50.654257,5.5555017,Wallonia,1845.360824742268
228,Nivelles,2024.0,,Walloon Brabant,1300,355000,1.0,GROUND_FLOOR,2.0,90.0,USA_INSTALLED,0,0,16.0,1,0,0,1,,0,,,,GAS,1,0,,,Wallonia,3944.4444444444443
229,Antwerp,2024.0,4.0,Antwerp,2000,1455000,1.0,PENTHOUSE,3.0,192.0,HYPER_EQUIPPED,0,0,22.0,1,0,0,0,,0,5.0,,,,0,0,51.2266199,4.4009373,Flanders,7578.125
230,Dinant,,4.0,Namur,5555,199000,0.0,HOUSE,5.0,186.0,INSTALLED,0,0,,1,0,0,1,6.0,0,,4.0,300.0,FUELOIL,1,228,,,Wallonia,1069.8924731182797
231,Hasselt,2023.0,2.0,Limburg,3500,642205,1.0,APARTMENT,3.0,162.0,INSTALLED,0,0,42.0,1,0,0,0,,0,,,,,1,0,50.9301492,5.3317664,Flanders,3964.2283950617284
232,Brugge,2020.0,,West Flanders,8000,1650000,1.0,APARTMENT,2.0,183.0,,0,0,25.0,1,0,0,0,,0,4.0,6.0,,GAS,1,0,51.2111527,3.2286894,Flanders,9016.393442622952
233,Bastogne,,,Luxembourg,6600,264000,1.0,APARTMENT,1.0,73.0,,0,0,12.0,1,0,0,1,,0,5.0,7.0,61.0,,0,0,,,Wallonia,3616.4383561643835
234,Nivelles,2024.0,,Walloon Brabant,1300,365000,1.0,GROUND_FLOOR,2.0,100.0,USA_INSTALLED,0,0,8.0,1,0,0,1,,0,,,,GAS,1,0,,,Wallonia,3650.0
235,Brussels,1960.0,1.0,Brussels,1090,695000,0.0,APARTMENT_BLOCK,0.0,306.0,,0,0,0.0,0,0,0,1,100.0,0,4.0,,,GAS,0,0,,,Brussels-Capital,2271.2418300653594
236,Hasselt,2023.0,2.0,Limburg,3500,875830,1.0,APARTMENT,3.0,178.0,INSTALLED,0,0,22.0,1,0,0,0,,0,,,,,1,0,50.9300124,5.3322355,Flanders,4920.393258426966
237,Bastogne,,,Luxembourg,6600,274000,1.0,APARTMENT,1.0,73.0,,0,0,24.0,1,0,0,1,,0,5.0,7.0,70.0,,0,0,,,Wallonia,3753.4246575342468
238,Brugge,1948.0,2.0,West Flanders,8000,320000,1.0,APARTMENT,2.0,105.0,INSTALLED,0,0,45.0,1,0,0,1,,0,4.0,4.0,364.0,GAS,0,0,51.209295,3.219773,Flanders,3047.6190476190477
239,Hasselt,2009.0,,Limburg,3500,695000,1.0,PENTHOUSE,2.0,235.0,HYPER_EQUIPPED,0,0,20.0,1,0,0,0,,0,4.0,6.0,161.0,GAS,1,2419,50.9326064,5.3252841,Flanders,2957.446808510638
240,Thuin,1847.0,4.0,Hainaut,7130,350000,0.0,COUNTRY_COTTAGE,4.0,225.0,HYPER_EQUIPPED,0,1,0.0,0,0,0,1,2461.0,0,5.0,3.0,417.0,FUELOIL,1,512,50.4918435,5.8620006,Wallonia,1555.5555555555557
241,Liège,,,Liège,4000,180270,1.0,FLAT_STUDIO,0.0,44.0,INSTALLED,0,0,11.0,1,0,0,0,,0,,,,GAS,0,0,,,Wallonia,4097.045454545455
242,Bastogne,,,Luxembourg,6600,274000,1.0,APARTMENT,2.0,92.0,,0,0,8.0,1,0,0,1,,0,5.0,7.0,55.0,,0,0,,,Wallonia,2978.2608695652175
243,Nivelles,2024.0,,Walloon Brabant,1300,380000,1.0,APARTMENT,2.0,99.0,USA_INSTALLED,0,0,16.0,1,0,0,1,,0,,,,GAS,1,0,,,Wallonia,3838.3838383838383
244,Brugge,,2.0,West Flanders,8000,395000,1.0,DUPLEX,3.0,107.0,USA_HYPER_EQUIPPED,0,0,0.0,0,0,0,0,,0,6.0,6.0,134.0,GAS,1,0,51.2124702,3.2238973,Flanders,3691.588785046729
245,Hasselt,1972.0,,Limburg,3500,375000,1.0,APARTMENT,3.0,145.0,,0,0,0.0,0,0,0,0,,0,2.0,6.0,195.0,GAS,1,1420,50.9285887,5.3337644,Flanders,2586.206896551724
246,Antwerp,2024.0,2.0,Antwerp,2000,335000,1.0,FLAT_STUDIO,1.0,66.0,HYPER_EQUIPPED,0,0,9.0,1,13,1,0,,0,,,,,1,0,51.2207529,4.4102467,Flanders,5075.757575757576
247,Liège,,,Liège,4000,218755,1.0,APARTMENT,1.0,59.0,INSTALLED,0,0,11.0,1,0,0,0,,0,,,,GAS,0,0,,,Wallonia,3707.7118644067796
